DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
;300067;INSTIT.;ASS BENEFICENTE COMUNITARIA EM ITAQUERA E ADJACENCIAS;;;;RUA MAMBAÍ;117   ;VILA TAQUARI;08230170;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BENEFICENTE COMUNITARIA EM ITAQUERA E ADJ;;;;;;;;;;;;;;;;;;;;;;;;;;
;300068;INSTIT.;ASS ALIANCA DE MISERICORDIA;;;;RUA AVANHANDAVA;520   ;BELA VISTA;01306000;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300069;INSTIT.;ASS BENEFICENTE E CULTURAL PANCAR;;ITAQUERA;;RUA JARDIM TAMOIO;1358  ;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;08255010;;;;Ativa;47;JOSE BONIFACIO;4703;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;-23554008;-46434078;;28-dez-17
;300070;INSTIT.;ASS BENEFICENTE E ACAO SOCIAL DE SAO PAULO;;;;RUA IGUATAMA;324   ;VILA PRINCESA ISABEL;08410210;;;;Ativa;;;;;;;02-ago-12;116;30-jul-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300072;INSTIT.;ASS BENEFICENTE EDUCACIONAL LAGEADO;;GUAIANASES;;RUA TINGUI-DA-PRAIA;5     ;VILA LOURDES;08452635;;;;Ativa;96;LAJEADO;9604;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;-23529507;-46399074;;28-dez-17
;300073;INSTIT.;ASS BENEFICENTE EDUCATIVA;;;;RUA ILHA DOS MARINHEIROS 81;81    ;JD CAMPOS;08151730;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300074;INSTIT.;ASS BENEFICENTE ESPERANCA DO JARDIM SAO PAULO;;;;RUA JACQUES LACAN;70    ;JARDIM SÃO PAULO(ZONA LESTE);08461125;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300075;INSTIT.;ASSOCIAÇÃO CIVICA FEMININA;;;;AVENIDA FRANCISCO MATARAZZO;385   ;ÁGUA BRANCA;05001000;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS CIVICA FEMININA;;;;;;;;;;;;;;;;;;;;;;;;;;
;300076;INSTIT.;ASS CIVIL ANIMA;;BUTANTA;;RUA MAESTRO SAVINO BENEDICTIS;60    ;RIO PEQUENO;05379070;;;;Ativa;67;RIO PEQUENO;6704;;;;22-jan-11;702;21-jan-11;;;ASS CIVIL FEMININA;;;;;;;;;;;;;;;;;;;;;;;-23566245;-46754834;;28-dez-17
;300077;INSTIT.;ASS  FAA DI BRUNO FADIB;;;;RUA CORONEL MARQUES;100   ;CHÁCARA CALIFÓRNIA;03407005;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS CIVIL FAA DI BRUNO;;;;;;;;;;;;;;;;;;;;;;;;;;
;300078;INSTIT.;ASS BENEFICENTE FAMILIA FRUTO FIEL;;;;RUA ATALIBA NOGUEIRA;65    ;JARDIM CAGUASSU;03906070;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300079;INSTIT.;AGES ASSOCIACAO CIVIL GAUDIUM ET SPES;;;;RUA ALIANÇA LIBERAL;703   ;BELA ALIANÇA;05088000;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS CIVIL GAUDIUM ET SPES AGES;;;;;;;;;;;;;;;;;;;;;;;;;;
SA;300080;ESC.PART.;JARDIM DA INFANCIA TIA LOLO;SANTO AMARO;SANTO AMARO;;AVENIDA SANTA CATARINA;302   ;VILA ALEXANDRIA;04635001;;;;Ativa;15;CAMPO BELO;1501;35105995;35105995;;;;;;18-out-95;COR DE ROSA JARDIM INFANCIA;;;;;;;;;;;;;;;;;;;;;;;-23639448;-46669338;;28-dez-17
;300081;INSTIT.;ASS BENEFICENTE FEMININA SIRIO LIBANESA;;;;RUA AUGUSTA;2933  ;CERQUEIRA CÉSAR;01413100;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300082;INSTIT.;ASS COMUNITARIA AURI VERDE;;;;RUA ÂNGELO ANTONELLI;12    ;JARDIM VARGINHA;04857560;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300083;INSTIT.;ASS BENEFICENTE GUAINUMBI;;;;RUA EMANUEL LIST;96    ;CHÁCARA FLÓRIDA;04949175;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300084;INSTIT.;ASS COMUNITARIA BARRO BRANCO II;;;;RUA CACHOEIRA DO CAMPO GRANDE;400   ;CONJUNTO HABITACIONAL BARRO BRANCO II;08475000;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300085;INSTIT.;ASS BENEFICENTE IMACULADA CONCEICAO;;;;RUA ALMIRANTE MARQUES LEÃO;602   ;BELA VISTA;01330010;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300086;INSTIT.;ASS BENEFICENTE JERUSALEM - ABJ;;;;RUA CHAPADA DIAMANTINA;79    ;LAJEADO;08450150;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300087;INSTIT.;ASS BENEFICENTE LUZ DA SABEDORIA;;;;RUA TIBÚRCIO DE SOUSA;716   ;ITAIM PAULISTA;08140000;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300088;INSTIT.;ASS COMUNITARIA CACHOEIRA DA FELICIDADE;;CIDADE TIRADENTES;;RUA AREIA DA AMPULHETA;88    ;CONJUNTO HABITACIONAL CASTRO ALVES;08474110;;;;Ativa;25;CIDADE TIRADENTES;2503;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;-23581170;-46407488;;28-dez-17
;300089;INSTIT.;ASS COMUNITARIA BENEFICENTE PODER E QUERER;;;;RUA CATARINA DE HORTA;386   ;VILA ZEFIRA;08411080;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300090;INSTIT.;ASS COMUNITARIA CANTINHO DO CEU;;;;RUA FRANCISCO INACIO SOLANO;61    ;PARQUE RESIDENCIAL COCAIA;04849501;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300091;INSTIT.;ASS COM ACOES SOLID MORAD BAIR JD CAMARGO, OLINDA II, NELIA;;;;RUA LAGOA GAROPABA;29    ;JARDIM CAMARGO NOVO;08141570;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS COMUNITARIA DE ACOES SOLIDARIAS DOS MORAD;;;;;;;;;;;;;;;;;;;;;;;;;;
;300092;INSTIT.;ASS COMUNITARIA DO JARDIM IDEAL;;CAPELA DO SOCORRO;;RUA TEREZINE;113   ;JARDIM IDEAL;04846680;;;;Ativa;30;GRAJAU;3008;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;-23758113;-46669996;;28-dez-17
;300093;INSTIT.;ASS COMUNITARIA DOS MORADORES DA VILA SAO JOSE E BELA VISTA;;;;RUA SERRA DO CABURAÍ;31    ;VILA SÃO JOSÉ (GUAIANAZES);08412140;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS COMUNITARIA DOS MORADORES DA VILA SAO JOR;;;;;;;;;;;;;;;;;;;;;;;;;;
;300094;INSTIT.;ASS COMUNITARIA BENEFICENTE DO CONJUNTO RESIDENCIAL ITAJUIBE;;;;RUA CONSUELO LEANDRO;1525  ;JARDIM NELIA IV;08142349;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS COMUNITARIA E BENEFICENTE DO CONJUNTO RES;;;;;;;;;;;;;;;;;;;;;;;;;;
